상위품번,상위품명,하위품번,하위품명,분류,수량,단위,재질,공급업체,비고
WIDE-ROOT,넓은조립품,WIDE-C01,넓은-자식01,구조부품,1,EA,SS400,A사,
WIDE-ROOT,넓은조립품,WIDE-C02,넓은-자식02,가공부품,2,EA,AL6061,B사,
WIDE-ROOT,넓은조립품,WIDE-C03,넓은-자식03,가공부품,1,EA,SUS304,C사,
WIDE-ROOT,넓은조립품,WIDE-C04,넓은-자식04,기계부품,3,EA,S45C,A사,
WIDE-ROOT,넓은조립품,WIDE-C05,넓은-자식05,주조부품,1,EA,FC250,D사,
WIDE-ROOT,넓은조립품,WIDE-C06,넓은-자식06,구조부품,2,EA,SS400,A사,
WIDE-ROOT,넓은조립품,WIDE-C07,넓은-자식07,가공부품,1,EA,AL7075,B사,
WIDE-ROOT,넓은조립품,WIDE-C08,넓은-자식08,기계부품,4,EA,SCM440,E사,
WIDE-ROOT,넓은조립품,WIDE-C09,넓은-자식09,가공부품,1,EA,SUS316,C사,
WIDE-ROOT,넓은조립품,WIDE-C10,넓은-자식10,구조부품,2,EA,SS400,A사,
WIDE-ROOT,넓은조립품,WIDE-C11,넓은-자식11,가공부품,1,EA,AL6061,B사,
WIDE-ROOT,넓은조립품,WIDE-C12,넓은-자식12,기계부품,6,EA,S45C,E사,
WIDE-ROOT,넓은조립품,WIDE-C13,넓은-자식13,주조부품,1,EA,FC300,D사,
WIDE-ROOT,넓은조립품,WIDE-C14,넓은-자식14,가공부품,2,EA,SUS304,C사,
WIDE-ROOT,넓은조립품,WIDE-C15,넓은-자식15,기계부품,1,EA,SCM420,E사,
WIDE-ROOT,넓은조립품,WIDE-C16,넓은-자식16,구조부품,3,EA,SS400,A사,
WIDE-ROOT,넓은조립품,WIDE-C17,넓은-자식17,가공부품,1,EA,AL5052,B사,
WIDE-ROOT,넓은조립품,WIDE-C18,넓은-자식18,기계부품,2,EA,S45C,E사,
WIDE-ROOT,넓은조립품,WIDE-C19,넓은-자식19,가공부품,1,EA,SUS304,C사,
WIDE-ROOT,넓은조립품,WIDE-C20,넓은-자식20,구조부품,4,EA,SS400,A사,
WIDE-ROOT,넓은조립품,WIDE-C21,넓은-자식21,고무부품,1,EA,NBR,F사,
WIDE-ROOT,넓은조립품,WIDE-C22,넓은-자식22,고무부품,2,EA,CR,F사,
WIDE-ROOT,넓은조립품,WIDE-C23,넓은-자식23,주조부품,1,EA,FC250,D사,
WIDE-ROOT,넓은조립품,WIDE-C24,넓은-자식24,가공부품,8,EA,SUS304,C사,
WIDE-ROOT,넓은조립품,WIDE-C25,넓은-자식25,가공부품,1,EA,AL6061,B사,
WIDE-ROOT,넓은조립품,공용볼트M10,공용 볼트 M10,체결부품,12,EA,SCM435,G사,
WIDE-ROOT,넓은조립품,공용와셔M10,공용 와셔 M10,체결부품,12,EA,SUS304,G사,
WIDE-ROOT,넓은조립품,공용너트M10,공용 너트 M10,체결부품,12,EA,S45C,G사,
DEEP-L0,깊은-레벨0,DEEP-L1,깊은-레벨1,조립품,1,EA,,,
DEEP-L1,깊은-레벨1,DEEP-L2,깊은-레벨2,조립품,1,EA,,,
DEEP-L2,깊은-레벨2,DEEP-L3,깊은-레벨3,조립품,2,EA,,,
DEEP-L3,깊은-레벨3,DEEP-L4,깊은-레벨4,조립품,1,EA,,,
DEEP-L4,깊은-레벨4,DEEP-L5,깊은-레벨5,조립품,3,EA,,,
DEEP-L5,깊은-레벨5,DEEP-L6,깊은-레벨6,조립품,1,EA,,,
